part_id,part_description,category,hs_code,supplier_id,supplier_name,tier,country_of_origin,region,annual_volume_units,unit_cost_usd,material_share_pct,criticality,single_source_flag,on_time_delivery_pct,annual_spend_usd
P0001,Metal-core PCB,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,634346,8.157,0.37,High,False,87.7,5174360.32
P0002,21700 Li-ion cell,Li-ion Cells & Batteries,8507.60,S014,Lumen Industries,1,China,East Asia,129932,6.189,0.72,Low,False,94.2,804149.15
P0003,6-layer FR4 PCB,PCB & Laminates,8534.00,S040,Vireo Systems,1,Malaysia,SE Asia,768995,3.12,0.72,Low,True,87.1,2399264.4
P0004,Extruded heatsink,Aluminium Enclosures,7616.99,S013,Halcyon Technologies,1,Malaysia,SE Asia,479846,8.22,0.66,High,False,94.2,3944334.12
P0005,Board-to-board connector,Connectors,8536.90,S003,Verda Components,1,Mexico,North America,562351,1.141,0.79,Medium,False,92.2,641642.49
P0006,Board-to-board connector,Connectors,8536.69,S044,Sable Systems,1,Taiwan,East Asia,697822,0.665,0.84,High,True,95.0,464051.63
P0007,5.5in TFT-LCD module,Display Modules,9013.80,S029,Orin Industries,1,Thailand,SE Asia,243943,27.248,0.64,Medium,False,99.5,6646958.86
P0008,Silicone keypad,Polymer Housings,3926.90,S009,Miran Circuit Works,1,Taiwan,East Asia,496308,3.677,0.64,High,True,90.7,1824924.52
P0009,USB-C receptacle,Connectors,8536.69,S044,Sable Systems,1,Taiwan,East Asia,591325,1.571,0.42,High,True,95.0,928971.58
P0010,e-Paper module,Display Modules,9013.80,S030,Trigon Fabrication,2,Vietnam,SE Asia,375550,58.355,0.41,Medium,False,86.6,21915220.25
P0011,Coin cell CR2032,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,264706,11.133,0.56,Medium,False,97.0,2946971.9
P0012,RF coax connector,Connectors,8536.69,S038,Ferro Circuit Works,2,India,South Asia,155030,1.053,0.46,Medium,False,95.2,163246.59
