part_id,part_description,category,hs_code,supplier_id,supplier_name,tier,country_of_origin,region,annual_volume_units,unit_cost_usd,material_share_pct,criticality,single_source_flag,on_time_delivery_pct,annual_spend_usd,matched_alert_ids,applied_delta_pct,landed_cost_before_usd,landed_cost_after_usd,annual_cost_impact_usd,exposure_score,risk_band
P0001,Metal-core PCB,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,634346,8.157,0.37,High,False,87.7,5174360.32,,0.0,8.157,8.157,0.0,20.7,Green
P0002,21700 Li-ion cell,Li-ion Cells & Batteries,8507.60,S014,Lumen Industries,1,China,East Asia,129932,6.189,0.72,Low,False,94.2,804149.15,GTA0003,18.4,6.189,7.3278,147966.56,60.7,Red
P0003,6-layer FR4 PCB,PCB & Laminates,8534.00,S040,Vireo Systems,1,Malaysia,SE Asia,768995,3.12,0.72,Low,True,87.1,2399264.4,GTA0028,4.8,3.12,3.2698,115195.45,65.3,Red
P0004,Extruded heatsink,Aluminium Enclosures,7616.99,S013,Halcyon Technologies,1,Malaysia,SE Asia,479846,8.22,0.66,High,False,94.2,3944334.12,,0.0,8.22,8.22,0.0,20.3,Green
P0005,Board-to-board connector,Connectors,8536.90,S003,Verda Components,1,Mexico,North America,562351,1.141,0.79,Medium,False,92.2,641642.49,,0.0,1.141,1.141,0.0,11.5,Green
P0006,Board-to-board connector,Connectors,8536.69,S044,Sable Systems,1,Taiwan,East Asia,697822,0.665,0.84,High,True,95.0,464051.63,,0.0,0.665,0.665,0.0,34.3,Amber
P0007,5.5in TFT-LCD module,Display Modules,9013.80,S029,Orin Industries,1,Thailand,SE Asia,243943,27.248,0.64,Medium,False,99.5,6646958.86,,0.0,27.248,27.248,0.0,11.0,Green
P0008,Silicone keypad,Polymer Housings,3926.90,S009,Miran Circuit Works,1,Taiwan,East Asia,496308,3.677,0.64,High,True,90.7,1824924.52,,0.0,3.677,3.677,0.0,34.6,Amber
P0009,USB-C receptacle,Connectors,8536.69,S044,Sable Systems,1,Taiwan,East Asia,591325,1.571,0.42,High,True,95.0,928971.58,,0.0,1.571,1.571,0.0,34.3,Amber
P0010,e-Paper module,Display Modules,9013.80,S030,Trigon Fabrication,2,Vietnam,SE Asia,375550,58.355,0.41,Medium,False,86.6,21915220.25,,0.0,58.355,58.355,0.0,11.8,Green
P0011,Coin cell CR2032,Li-ion Cells & Batteries,8507.60,S008,Hanwa Industries,1,Thailand,SE Asia,264706,11.133,0.56,Medium,False,97.0,2946971.9,,0.0,11.133,11.133,0.0,11.2,Green
P0012,RF coax connector,Connectors,8536.69,S038,Ferro Circuit Works,2,India,South Asia,155030,1.053,0.46,Medium,False,95.2,163246.59,GTA0020,6.7,1.053,1.1236,10945.12,26.6,Amber
P0013,8-layer backplane,PCB & Laminates,8534.00,S036,Ceyl Technologies,1,South Korea,East Asia,830002,2.402,0.56,Low,False,91.8,1993664.8,,0.0,2.402,2.402,0.0,4.5,Green
P0014,5.5in TFT-LCD module,Display Modules,9013.80,S029,Orin Industries,1,Thailand,SE Asia,103813,38.246,0.63,Medium,False,99.5,3970432.0,,0.0,38.246,38.246,0.0,11.0,Green
P0015,FFC/FPC connector,Connectors,8536.90,S044,Sable Systems,1,Taiwan,East Asia,590194,0.987,0.51,High,True,95.0,582521.48,,0.0,0.987,0.987,0.0,34.3,Amber
P0016,HDI rigid-flex PCB,PCB & Laminates,8534.00,S046,Kanto Assemblies,1,Mexico,North America,503247,2.373,0.66,High,False,87.7,1194205.13,,0.0,2.373,2.373,0.0,20.7,Green
P0017,PBT connector housing,Polymer Housings,3926.90,S023,Cobalt Circuit Works,2,USA,North America,471210,3.89,0.79,Low,True,91.1,1833006.9,,0.0,3.89,3.89,0.0,18.5,Green
P0018,DC-DC converter IC,Semiconductors/ICs,8542.39,S050,Volt Semicon,3,Japan,East Asia,256512,8.724,0.51,High,False,86.6,2237810.69,,0.0,8.724,8.724,0.0,20.8,Green
P0019,Steel standoff set,Steel Hardware,7326.90,S048,Lumen Components,1,China,East Asia,784298,0.976,0.38,High,False,86.7,765474.85,,0.0,0.976,0.976,0.0,20.8,Green
P0020,Film capacitor 1uF,Capacitors,8532.21,S019,Sable Devices,1,China,East Asia,1884204,0.051,0.51,Low,True,90.5,96094.4,GTA0004,15.0,0.051,0.0586,14319.95,34.9,Amber
P0021,PBT connector housing,Polymer Housings,3926.90,S045,Kori Technologies,3,Japan,East Asia,32920,0.702,0.78,Medium,False,99.5,23109.84,,0.0,0.702,0.702,0.0,11.0,Green
P0022,MLCC array 0402,Capacitors,8532.21,S024,Halcyon Components,1,Taiwan,East Asia,3649440,0.042,0.53,Low,False,92.2,153276.48,,0.0,0.042,0.042,0.0,4.5,Green
P0023,32-bit MCU,Semiconductors/ICs,8542.31,S050,Volt Semicon,3,Japan,East Asia,896008,11.807,0.51,High,False,86.6,10579166.46,,0.0,11.807,11.807,0.0,20.8,Green
P0024,5.5in TFT-LCD module,Display Modules,9013.80,S043,Hanwa Microelectronics,2,China,East Asia,640757,18.961,0.67,Low,False,98.3,12149393.48,GTA0012,20.0,18.961,22.7532,2429878.7,61.1,Red
P0025,e-Paper module,Display Modules,9013.80,S001,Nexa Technologies,1,Taiwan,East Asia,203970,26.137,0.43,High,False,90.6,5331163.89,,0.0,26.137,26.137,0.0,20.6,Green
P0026,Spring steel clip,Steel Hardware,7326.90,S011,Doran Precision,2,China,East Asia,755947,1.581,0.63,Medium,False,92.5,1195152.21,,0.0,1.581,1.581,0.0,11.4,Green
P0027,EMI gasket frame,Steel Hardware,7326.90,S048,Lumen Components,1,China,East Asia,891483,0.636,0.57,High,False,86.7,566983.19,,0.0,0.636,0.636,0.0,20.8,Green
P0028,PC/ABS bezel,Polymer Housings,3926.90,S025,Orin Microelectronics,2,Vietnam,SE Asia,90443,2.029,0.57,Medium,False,88.6,183508.85,,0.0,2.029,2.029,0.0,11.7,Green
P0029,LCD backlight unit,Display Modules,9013.80,S029,Orin Industries,1,Thailand,SE Asia,152592,13.742,0.8,Medium,False,99.5,2096919.26,,0.0,13.742,13.742,0.0,11.0,Green
P0030,USB-C receptacle,Connectors,8536.90,S003,Verda Components,1,Mexico,North America,191060,1.238,0.64,Medium,False,92.2,236532.28,,0.0,1.238,1.238,0.0,11.5,Green
P0031,Touch panel assembly,Display Modules,9013.80,S030,Trigon Fabrication,2,Vietnam,SE Asia,256607,14.846,0.77,Medium,False,86.6,3809587.52,,0.0,14.846,14.846,0.0,11.8,Green
P0032,PC/ABS bezel,Polymer Housings,3926.90,S041,Lumen Technologies,1,Thailand,SE Asia,377990,1.737,0.73,Medium,True,94.6,656568.63,,0.0,1.737,1.737,0.0,25.3,Amber
P0033,e-Paper module,Display Modules,9013.80,S004,Vireo Assemblies,1,China,East Asia,674427,13.287,0.52,Medium,False,91.0,8961111.55,GTA0012,20.0,13.287,15.9444,1792222.31,68.5,Red
