alert_id,published_date,implementing_jurisdiction,affected_partner_country,measure_type,affected_hs_codes,tariff_rate_change_pct,status,headline,summary,source_url
GTA0009,2026-07-04,USA,Vietnam,Section 301 tariff,8544.42;8544.49;8536.69;8536.90,7.0,Under review,"USTR opens review of Vietnamese wire, cable and connector imports",A proposed 7% duty on selected Vietnamese-origin interconnect products is under public-comment review; no duty is currently collected.,https://www.globaltradealert.org/intervention/60009
GTA0014,2026-06-26,USA,China,Section 301 tariff,8533.21;8533.40,15.0,In force,Chinese chip resistors and passives added to Section 301 list,High-volume chip resistors and ferrite components from China now carry a 15% additional duty.,https://www.globaltradealert.org/intervention/60014
GTA0008,2026-06-08,USA,Malaysia,Anti-dumping duty,8532.24;8532.21,8.0,In force,Anti-dumping duty confirmed on tantalum capacitors from Malaysia,Commerce finalises an 8% anti-dumping margin on tantalum capacitors of Malaysian origin.,https://www.globaltradealert.org/intervention/60008
GTA0028,2026-06-04,USA,Malaysia,Anti-dumping duty,8534.00,4.8,In force,Anti-dumping duty reported on pcb & laminates from Malaysia,A 4.8% anti-dumping duty affecting pcb & laminates of Malaysia origin has been recorded (in force).,https://www.globaltradealert.org/intervention/60028
GTA0016,2026-06-02,USA,Thailand,Anti-dumping duty,7616.99;7606.12,9.0,In force,Anti-dumping duty on Thai aluminium extrusions confirmed,A 9% anti-dumping margin applies to aluminium extrusions and heatsinks of Thai origin.,https://www.globaltradealert.org/intervention/60016
GTA0015,2026-05-31,USA,Mexico,Tariff removal,3926.90,-6.0,In force,USMCA review removes duty on qualifying Mexican polymer housings,Qualifying polymer housings of Mexican origin see a 6% duty removed following a rules-of-origin determination — a downside-risk relief.,https://www.globaltradealert.org/intervention/60015
GTA0022,2026-05-29,USA,Germany,Tariff-rate quota,8504.31;8504.50,13.8,Announced,Tariff-rate quota reported on inductors & transformers from Germany,A 13.8% tariff-rate quota affecting inductors & transformers of Germany origin has been recorded (announced).,https://www.globaltradealert.org/intervention/60022
GTA0030,2026-05-28,USA,Japan,Tariff-rate quota,8532.24;8532.21,4.5,Under review,Tariff-rate quota reported on capacitors from Japan,A 4.5% tariff-rate quota affecting capacitors of Japan origin has been recorded (under review).,https://www.globaltradealert.org/intervention/60030
GTA0007,2026-04-17,China,China,Export control,8542.31;8542.32;8542.39,6.0,In force,China tightens export licensing on gallium and germanium inputs,New export-licensing requirements on gallium- and germanium-based inputs raise effective landed costs and lead-time risk for downstream IC buyers.,https://www.globaltradealert.org/intervention/60007
GTA0002,2026-04-12,USA,China,Section 301 tariff,8534.00,25.0,In force,Section 301 list expanded to printed circuit boards of Chinese origin,A 25% additional duty now applies to bare and assembled printed circuit boards imported from China under the latest Section 301 action.,https://www.globaltradealert.org/intervention/60002
GTA0020,2026-03-27,USA,India,Anti-dumping duty,8536.69;8536.90,6.7,In force,Anti-dumping duty reported on connectors from India,A 6.7% anti-dumping duty affecting connectors of India origin has been recorded (in force).,https://www.globaltradealert.org/intervention/60020
GTA0010,2026-03-21,USA,China,Section 232 tariff,7326.90,8.0,Under review,Proposed Section 232 expansion to steel fasteners and brackets,A proposed 8% expansion of Section 232 steel measures to stamped hardware and fasteners is under review.,https://www.globaltradealert.org/intervention/60010
GTA0003,2026-03-01,USA,China,Anti-dumping duty,8507.60,18.4,In force,Anti-dumping order issued on lithium-ion cells from China,Commerce imposes a weighted-average anti-dumping margin of 18.4% on lithium-ion cells and packs from named Chinese exporters following a final affirmative determination.,https://www.globaltradealert.org/intervention/60003
GTA0005,2026-02-27,USA,China,Section 232 tariff,7616.99;7606.12,10.0,In force,Section 232 aluminium duties extended to fabricated enclosures,Fabricated aluminium enclosures and heatsinks of Chinese origin fall under the extended Section 232 aluminium measure at a 10% rate.,https://www.globaltradealert.org/intervention/60005
GTA0024,2026-02-10,USA,Taiwan,Section 301 tariff,8542.31;8542.32;8542.39,8.0,In force,Section 301 tariff reported on semiconductors/ics from Taiwan,A 8.0% section 301 tariff affecting semiconductors/ics of Taiwan origin has been recorded (in force).,https://www.globaltradealert.org/intervention/60024
GTA0012,2026-01-30,USA,China,Section 301 tariff,9013.80,20.0,In force,Display modules of Chinese origin subject to Section 301 duty,TFT-LCD and OLED display modules from China carry a 20% additional duty under Section 301.,https://www.globaltradealert.org/intervention/60012
GTA0019,2026-01-29,USA,Vietnam,Section 301 tariff,8542.31;8542.32;8542.39,9.0,In force,Section 301 tariff reported on semiconductors/ics from Vietnam,A 9.0% section 301 tariff affecting semiconductors/ics of Vietnam origin has been recorded (in force).,https://www.globaltradealert.org/intervention/60019
GTA0001,2026-01-29,USA,China,Section 301 tariff,8542.31;8542.32;8542.39,25.0,In force,United States raises Section 301 duties on Chinese integrated circuits,"US Trade Representative confirms a 25% additional ad valorem duty on a range of Chinese-origin semiconductor devices, citing continued technology-transfer concerns.",https://www.globaltradealert.org/intervention/60001
GTA0006,2026-01-17,USA,China,Anti-dumping duty,8536.69;8536.90,12.5,Announced,Preliminary anti-dumping margin announced on Chinese electrical connectors,A preliminary 12.5% margin has been announced on board-to-board and power connectors from China; the order is not yet in force pending final determination.,https://www.globaltradealert.org/intervention/60006
GTA0011,2026-01-05,USA,South Korea,Tariff-rate quota,8504.31;8504.50,5.0,In force,Tariff-rate quota applied to Korean magnetics above threshold,Imports of Korean-origin transformers and inductors above the annual quota threshold attract a 5% over-quota rate.,https://www.globaltradealert.org/intervention/60011
GTA0017,2025-12-26,USA,China,Section 301 tariff,8504.31;8504.50,10.0,Expired,Earlier Section 301 duty on Chinese magnetics allowed to lapse,A prior 10% duty on Chinese-origin inductors expired at the end of the exclusion window and is no longer collected.,https://www.globaltradealert.org/intervention/60017
GTA0018,2025-12-24,USA,Japan,Tariff-rate quota,8542.31;8542.32;8542.39,3.0,Announced,Proposed quota on advanced Japanese IC imports,A proposed 3% over-quota rate on advanced Japanese ICs has been announced for consultation.,https://www.globaltradealert.org/intervention/60018
GTA0021,2025-12-22,USA,Philippines,Anti-dumping duty,8533.21;8533.40,13.0,Under review,Anti-dumping duty reported on resistors & passives from Philippines,A 13.0% anti-dumping duty affecting resistors & passives of Philippines origin has been recorded (under review).,https://www.globaltradealert.org/intervention/60021
GTA0025,2025-12-19,USA,Thailand,Anti-dumping duty,8544.42;8544.49,10.1,In force,Anti-dumping duty reported on insulated wire & cable from Thailand,A 10.1% anti-dumping duty affecting insulated wire & cable of Thailand origin has been recorded (in force).,https://www.globaltradealert.org/intervention/60025
GTA0027,2025-12-15,USA,China,Section 301 tariff,3926.90,5.4,Under review,Section 301 tariff reported on polymer housings from China,A 5.4% section 301 tariff affecting polymer housings of China origin has been recorded (under review).,https://www.globaltradealert.org/intervention/60027
GTA0026,2025-12-05,USA,Mexico,Section 232 tariff,7326.90,9.4,In force,Section 232 tariff reported on steel hardware from Mexico,A 9.4% section 232 tariff affecting steel hardware of Mexico origin has been recorded (in force).,https://www.globaltradealert.org/intervention/60026
GTA0013,2025-11-10,USA,Taiwan,Anti-dumping duty,8534.00,4.5,Announced,Preliminary review of Taiwanese laminate imports announced,A preliminary 4.5% margin has been floated on selected Taiwanese copper-clad laminates; not yet collected.,https://www.globaltradealert.org/intervention/60013
GTA0029,2025-10-29,USA,Vietnam,Section 232 tariff,7616.99;7606.12,6.7,Under review,Section 232 tariff reported on aluminium enclosures from Vietnam,A 6.7% section 232 tariff affecting aluminium enclosures of Vietnam origin has been recorded (under review).,https://www.globaltradealert.org/intervention/60029
GTA0023,2025-10-20,USA,South Korea,Anti-dumping duty,9013.80,11.4,Under review,Anti-dumping duty reported on display modules from South Korea,A 11.4% anti-dumping duty affecting display modules of South Korea origin has been recorded (under review).,https://www.globaltradealert.org/intervention/60023
GTA0004,2025-09-25,USA,China,Section 301 tariff,8532.24;8532.21,15.0,In force,Chinese multilayer ceramic capacitors added to Section 301 tariff list,"Passive components including MLCCs from China now carry a 15% additional duty, affecting high-volume board assemblies.",https://www.globaltradealert.org/intervention/60004
